,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
269,-69.637834,44.552364,,0.0,,Citizen Survey
270,-69.658342,44.547733,"Maple, Cherry, ",2.0,Mixed,Citizen Survey
271,-69.658566,44.545823,"Oak, Crabapple, ",2.0,Mixed,Citizen Survey
272,-69.641433,44.536094,"Oak, Crabapple, Cherry, ",3.0,Mixed,Citizen Survey
273,-69.657623,44.547598,"Birch, ",1.0,Ornamental,Citizen Survey
274,-69.650101,44.550958,,0.0,,Citizen Survey
275,-69.652325,44.542145,"Maple, Crabapple, ",2.0,,Citizen Survey
276,-69.628121,44.564612,"Apple, ",1.0,Ornamental,Citizen Survey
277,-69.652271,44.554187,"Oak, Maple, ",2.0,Ornamental,Citizen Survey
278,-69.638682,44.576297,"Maple, Apple, ",2.0,Mixed,Citizen Survey
279,-69.643165,44.56253,,0.0,,Citizen Survey
280,-69.641127,44.558161,,0.0,Ornamental,Citizen Survey
281,-69.64557,44.551078,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
282,-69.645423,44.556049,"Crabapple, ",1.0,Fruiting / Flowering,Citizen Survey
283,-69.651458,44.583999,"Ash, Apple, Crabapple, Pear, ",4.0,Mixed,Citizen Survey
284,-69.660137,44.537833,"Oak, Maple, Birch, ",3.0,Ornamental,Citizen Survey
285,-69.635415,44.57528,"Birch, Crabapple, ",2.0,Mixed,Citizen Survey
286,-69.638878,44.548789,,0.0,,Citizen Survey
287,-69.631768,44.548437,,0.0,,Citizen Survey
288,-69.650531,44.581713,"Oak, ",1.0,Ornamental,Citizen Survey
289,-69.627805,44.56569,,,,Citizen Survey
290,-69.647373,44.57294,"Oak, Maple, ",,,Citizen Survey
291,-69.637476,44.554747,"Maple, ",,,Citizen Survey
292,-69.656161,44.551369,"Oak, Maple, Birch, ",,,Citizen Survey
293,-69.650842,44.554226,,,,Citizen Survey
294,-69.637468,44.555139,,,,Citizen Survey
295,-69.639806,44.552497,"Oak, Maple, Ash, ",,,Citizen Survey
296,-69.640182,44.551154,"Maple, ",,,Citizen Survey
297,-69.647373,44.57294,"Oak, Maple, ",,,Citizen Survey
298,-69.655619,44.550233,"Oak, Maple, ",,,Citizen Survey
299,-69.625076,44.568972,,,,Citizen Survey
300,-69.65633,44.5499,"Oak, Birch, ",,,Citizen Survey
301,-69.65568,44.53437,"Crabapple, ",,,Citizen Survey
302,-69.65601,44.53378,"Oak, Apple, ",,,Citizen Survey
303,-69.63965,44.55899,"Oak, Maple, Ash, Crabapple, ",,,Citizen Survey
304,-69.67416,44.54855,"Oak, ",,,Citizen Survey
305,-69.6613049,44.5464554,,,,Citizen Survey
306,-69.6610623,44.5467089,,,,Citizen Survey
307,-69.6557809,44.5562056,,,,Citizen Survey
308,-69.6544947,44.5566046,,,,Citizen Survey
309,-69.6765813,44.550228,,,,Citizen Survey
310,-69.6429653,44.53925,,,,Citizen Survey
311,-69.6519612,44.5546655,,,,Citizen Survey
312,-69.6592533,44.5459271,,,,Citizen Survey
