,lon,lat,common_name,obs_btm_trees,tree_type,entry_source
363,-69.674461,44.511651,Cherry,5.0,Fruiting / Flowering,Citizen Survey
364,-69.674461,44.511651,Serviceberry,5.0,Ornamental,Citizen Survey
365,-69.657976,44.547677,,0.0,,Citizen Survey
366,-69.65187,44.547027,,0.0,,Citizen Survey
367,-69.663514,44.536972,Oak,2.0,Ornamental,Citizen Survey
368,-69.663514,44.536972,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
369,-69.637476,44.554747,,0.0,,Citizen Survey
370,-69.66986,44.52294,,0.0,,Citizen Survey
371,-69.639981,44.550646,Birch,1.0,Ornamental,Citizen Survey
372,-69.647368,44.542394,,0.0,,Citizen Survey
373,-69.644547,44.556499,,0.0,,Citizen Survey
374,-69.660478,44.540163,,0.0,,Citizen Survey
375,-69.653753,44.554778,Apple,1.0,Fruiting / Flowering,Citizen Survey
376,-69.637223,44.546493,,0.0,,Citizen Survey
377,-69.638723,44.562249,,0.0,,Citizen Survey
378,-69.672799,44.554095,Oak,6.0,Ornamental,Citizen Survey
379,-69.672799,44.554095,Maple,6.0,Ornamental,Citizen Survey
380,-69.672799,44.554095,Ash,6.0,Ornamental,Citizen Survey
381,-69.672799,44.554095,Birch,6.0,Ornamental,Citizen Survey
382,-69.672799,44.554095,Apple,6.0,Fruiting / Flowering,Citizen Survey
383,-69.672799,44.554095,Pear,6.0,Fruiting / Flowering,Citizen Survey
384,-69.640287,44.550955,,0.0,,Citizen Survey
385,-69.627258,44.566399,,0.0,,Citizen Survey
386,-69.617809,44.554321,Oak,2.0,Ornamental,Citizen Survey
387,-69.617809,44.554321,Maple,2.0,Ornamental,Citizen Survey
388,-69.637834,44.552364,,0.0,,Citizen Survey
389,-69.658342,44.547733,Maple,2.0,Ornamental,Citizen Survey
390,-69.658342,44.547733,Cherry,2.0,Fruiting / Flowering,Citizen Survey
391,-69.658566,44.545823,Oak,2.0,Ornamental,Citizen Survey
392,-69.658566,44.545823,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
393,-69.641433,44.536094,Oak,3.0,Ornamental,Citizen Survey
394,-69.641433,44.536094,Crabapple,3.0,Fruiting / Flowering,Citizen Survey
395,-69.641433,44.536094,Cherry,3.0,Fruiting / Flowering,Citizen Survey
396,-69.657623,44.547598,Birch,1.0,Ornamental,Citizen Survey
397,-69.650101,44.550958,,0.0,,Citizen Survey
398,-69.652325,44.542145,Maple,2.0,Ornamental,Citizen Survey
399,-69.652325,44.542145,Crabapple,2.0,Fruiting / Flowering,Citizen Survey
400,-69.628121,44.564612,Apple,1.0,Fruiting / Flowering,Citizen Survey
401,-69.652271,44.554187,Oak,2.0,Ornamental,Citizen Survey
402,-69.652271,44.554187,Maple,2.0,Ornamental,Citizen Survey
403,-69.638682,44.576297,Maple,2.0,Ornamental,Citizen Survey
404,-69.638682,44.576297,Apple,2.0,Fruiting / Flowering,Citizen Survey
405,-69.643165,44.56253,,0.0,,Citizen Survey
406,-69.641127,44.558161,,0.0,,Citizen Survey
407,-69.64557,44.551078,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
408,-69.645423,44.556049,Crabapple,1.0,Fruiting / Flowering,Citizen Survey
