,lon,lat,common_name,condition_class,obs_btm_nests,tree_type,entry_source
293,-69.64667151,44.56212773,Ash,Poor ,0,Ornamental,Bartlett
294,-69.64813773,44.56485917,Ash,Good ,0,Ornamental,Bartlett
295,-69.64670203,44.56220275,Ash,Good ,0,Ornamental,Bartlett
296,-69.64659459,44.56208688,Ash,Poor ,0,Ornamental,Bartlett
297,-69.64625049,44.56185291,Ash,Good ,0,Ornamental,Bartlett
298,-69.62817896,44.5507748,Ash,Good ,0,Ornamental,Bartlett
299,-69.6592438,44.52755863,Ash,Poor ,0,Ornamental,Bartlett
300,-69.66049002,44.53373404,Ash,Good ,0,Ornamental,Bartlett
301,-69.66052149,44.53379658,Ash,Poor ,0,Ornamental,Bartlett
302,-69.65919482,44.52761053,Ash,Poor ,0,Ornamental,Bartlett
303,-69.65908037,44.53410169,Ash,Good ,0,Ornamental,Bartlett
304,-69.65903201,44.53405363,Ash,Good ,0,Ornamental,Bartlett
305,-69.65657839,44.581199,Ash,Good ,0,Ornamental,Bartlett
306,-69.65470291,44.57912686,Ash,Good ,0,Ornamental,Bartlett
307,-69.65496195,44.5800711,Ash,Good ,0,Ornamental,Bartlett
308,-69.62814937,44.55061341,Ash,Good ,0,Ornamental,Bartlett
309,-69.660664,44.53388939,Ash,Poor ,0,Ornamental,Bartlett
310,-69.65924315,44.52745821,Ash,Poor ,0,Ornamental,Bartlett
311,-69.65962359,44.53418581,Ash,Good ,0,Ornamental,Bartlett
312,-69.65896764,44.53412625,Ash,Good ,0,Ornamental,Bartlett
313,-69.65455173,44.57907147,Ash,Poor ,0,Ornamental,Bartlett
314,-69.66053675,44.53381194,Ash,Fair ,0,Ornamental,Bartlett
315,-69.65930333,44.5273026,Ash,Poor ,0,Ornamental,Bartlett
316,-69.65882396,44.53406609,Ash,Fair ,0,Ornamental,Bartlett
317,-69.65487207,44.57998129,Ash,Good ,0,Ornamental,Bartlett
318,-69.63458309,44.54596771,Ash,Poor ,0,Ornamental,Bartlett
319,-69.66076853,44.53402976,Ash,Good ,0,Ornamental,Bartlett
320,-69.65891494,44.53409026,Ash,Fair ,0,Ornamental,Bartlett
321,-69.65471286,44.57915674,Ash,Good ,0,Ornamental,Bartlett
322,-69.66071671,44.53403109,Ash,Good ,0,Ornamental,Bartlett
323,-69.65536307,44.58031352,Ash,Good ,0,Ornamental,Bartlett
324,-69.65497191,44.57971781,Ash,Good ,0,Ornamental,Bartlett
325,-69.63481117,44.54577818,Ash,Fair ,0,Ornamental,Bartlett
326,-69.66056451,44.53379963,Ash,Fair ,0,Ornamental,Bartlett
327,-69.66056436,44.53381506,Ash,Fair ,0,Ornamental,Bartlett
328,-69.66071255,44.53399366,Ash,Good ,0,Ornamental,Bartlett
329,-69.66077438,44.53402674,Ash,Good ,0,Ornamental,Bartlett
330,-69.65464951,44.57900704,Ash,Fair ,0,Ornamental,Bartlett
